"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 08, 2020","1,273.54","1,277.62","1,282.68","1,269.02","-","-0.32%"
"Oct 07, 2020","1,277.68","1,269.07","1,277.68","1,263.59","-","0.59%"
"Oct 06, 2020","1,270.22","1,274.05","1,281.49","1,264.66","-","-0.26%"
"Oct 05, 2020","1,273.55","1,276.75","1,279.58","1,265.15","-","-0.21%"
"Oct 02, 2020","1,276.25","1,273.38","1,279.48","1,255.19","-","0.20%"
"Oct 01, 2020","1,273.65","1,267.05","1,279.39","1,264.32","-","0.77%"
"Sep 30, 2020","1,263.95","1,270.60","1,273.46","1,258.60","-","-0.38%"
"Sep 29, 2020","1,268.71","1,266.60","1,272.44","1,258.73","-","0.17%"
"Sep 28, 2020","1,266.58","1,238.88","1,272.83","1,238.88","-","2.25%"
"Sep 25, 2020","1,238.65","1,257.04","1,257.04","1,223.77","-","-1.59%"
"Sep 23, 2020","1,258.71","1,233.62","1,268.62","1,228.59","-","1.70%"
"Sep 22, 2020","1,237.65","1,237.63","1,241.84","1,219.68","-","0.53%"
"Sep 21, 2020","1,231.18","1,269.42","1,269.54","1,222.62","-","-3.05%"
"Sep 18, 2020","1,269.86","1,280.16","1,287.77","1,265.65","-","-0.81%"
"Sep 17, 2020","1,280.17","1,294.90","1,294.90","1,270.13","-","-1.83%"
"Sep 16, 2020","1,304.06","1,311.46","1,312.50","1,298.91","-","-0.44%"
"Sep 15, 2020","1,309.77","1,318.49","1,326.72","1,305.35","-","-0.43%"
"Sep 14, 2020","1,315.48","1,313.37","1,325.64","1,306.12","-","0.17%"
"Sep 11, 2020","1,313.31","1,318.22","1,323.51","1,311.06","-","-0.38%"
"Sep 10, 2020","1,318.27","1,298.35","1,327.44","1,289.83","-","1.76%"
"Sep 09, 2020","1,295.52","1,264.53","1,295.52","1,262.99","-","2.47%"
"Sep 08, 2020","1,264.28","1,258.70","1,267.49","1,252.08","-","0.45%"
"Sep 07, 2020","1,258.57","1,254.02","1,265.02","1,253.22","-","0.39%"
"Sep 04, 2020","1,253.66","1,271.50","1,273.52","1,249.79","-","-1.45%"
"Sep 03, 2020","1,272.14","1,302.56","1,302.56","1,271.07","-","-2.36%"
"Sep 02, 2020","1,302.84","1,311.94","1,322.35","1,296.60","-","-0.60%"
"Sep 01, 2020","1,310.74","1,299.66","1,328.48","1,299.66","-","0.91%"
"Aug 31, 2020","1,298.96","1,325.44","1,336.95","1,295.45","-","-2.00%"
"Aug 28, 2020","1,325.42","1,348.55","1,351.41","1,318.09","-","-1.58%"
"Aug 27, 2020","1,346.73","1,339.39","1,363.31","1,339.39","-","0.60%"
"Aug 26, 2020","1,338.73","1,327.12","1,342.53","1,320.44","-","0.89%"
"Aug 25, 2020","1,326.97","1,332.40","1,339.51","1,322.52","-","-0.44%"
"Aug 24, 2020","1,332.78","1,311.79","1,347.18","1,311.79","-","1.58%"
"Aug 21, 2020","1,312.10","1,288.53","1,315.24","1,288.53","-","1.87%"
"Aug 20, 2020","1,288.04","1,306.74","1,306.74","1,280.66","-","-1.43%"
"Aug 19, 2020","1,306.73","1,320.24","1,322.01","1,305.33","-","-1.12%"
"Aug 18, 2020","1,321.49","1,323.99","1,332.83","1,315.70","-","-0.06%"
"Aug 17, 2020","1,322.26","1,322.17","1,330.16","1,312.01","-","0.03%"
"Aug 14, 2020","1,321.89","1,325.48","1,328.44","1,317.05","-","-0.39%"
"Aug 13, 2020","1,327.02","1,325.28","1,327.13","1,305.57","-","0.07%"
"Aug 12, 2020","1,326.14","1,318.12","1,335.36","1,310.30","-","0.63%"
"Aug 11, 2020","1,317.90","1,313.00","1,327.65","1,305.89","-","-0.16%"
"Aug 07, 2020","1,320.04","1,329.44","1,334.43","1,313.99","-","-2.06%"
"Aug 06, 2020","1,347.86","1,351.56","1,361.10","1,344.57","-","-0.57%"
"Aug 05, 2020","1,355.53","1,329.58","1,361.40","1,329.58","-","2.53%"
"Aug 04, 2020","1,322.05","1,321.57","1,333.65","1,316.53","-","0.51%"
"Aug 03, 2020","1,315.31","1,322.82","1,332.89","1,311.87","-","-0.56%"
"Jul 31, 2020","1,322.69","1,340.59","1,347.93","1,318.22","-","-0.82%"
"Jul 30, 2020","1,333.56","1,363.10","1,366.89","1,332.02","-","-2.12%"
"Jul 29, 2020","1,362.50","1,355.89","1,369.03","1,349.84","-","0.48%"
"Jul 28, 2020","1,355.93","1,347.21","1,355.93","1,335.37","-","0.69%"
"Jul 27, 2020","1,346.65","1,322.39","1,350.08","1,322.39","-","1.70%"
"Jul 24, 2020","1,324.08","1,337.87","1,337.87","1,315.92","-","-1.28%"
"Jul 23, 2020","1,341.23","1,341.71","1,351.38","1,341.23","-","0.06%"
"Jul 22, 2020","1,340.36","1,354.23","1,358.30","1,335.40","-","-1.01%"
"Jul 21, 2020","1,354.00","1,338.02","1,377.59","1,338.02","-","1.31%"
"Jul 20, 2020","1,336.54","1,326.20","1,342.37","1,320.68","-","0.80%"
"Jul 17, 2020","1,325.99","1,332.96","1,332.96","1,320.93","-","0.04%"
"Jul 16, 2020","1,325.48","1,321.63","1,329.46","1,299.75","-","0.25%"
"Jul 15, 2020","1,322.14","1,315.79","1,336.19","1,315.79","-","0.49%"
"Jul 14, 2020","1,315.63","1,337.02","1,337.02","1,302.28","-","-1.60%"
"Jul 13, 2020","1,337.09","1,316.46","1,337.97","1,316.46","-","1.57%"
"Jul 10, 2020","1,316.46","1,329.99","1,333.76","1,306.97","-","-1.05%"
"Jul 09, 2020","1,330.45","1,324.55","1,348.41","1,324.55","-","0.45%"
"Jul 08, 2020","1,324.52","1,297.49","1,328.27","1,297.27","-","2.04%"
"Jul 07, 2020","1,298.04","1,289.71","1,300.73","1,281.94","-","0.66%"
"Jul 06, 2020","1,289.59","1,291.85","1,303.52","1,283.10","-","0.01%"
"Jul 03, 2020","1,289.51","1,289.66","1,298.19","1,286.88","-","-0.06%"
"Jul 02, 2020","1,290.32","1,267.80","1,301.28","1,267.80","-","1.84%"
"Jul 01, 2020","1,267.01","1,274.15","1,282.50","1,258.82","-","-0.52%"
"Jun 30, 2020","1,273.68","1,270.43","1,289.89","1,269.63","-","0.27%"
"Jun 29, 2020","1,270.26","1,256.36","1,274.39","1,250.96","-","1.09%"
"Jun 26, 2020","1,256.58","1,266.37","1,276.35","1,253.51","-","-0.74%"
"Jun 25, 2020","1,265.91","1,276.63","1,278.66","1,259.24","-","-0.93%"
"Jun 24, 2020","1,277.73","1,303.19","1,309.70","1,271.86","-","-1.94%"
"Jun 23, 2020","1,302.96","1,273.99","1,307.91","1,273.99","-","2.28%"
"Jun 22, 2020","1,273.90","1,269.87","1,280.46","1,264.15","-","0.32%"
"Jun 19, 2020","1,269.87","1,262.26","1,285.71","1,262.26","-","0.64%"
"Jun 18, 2020","1,261.76","1,267.42","1,274.08","1,252.80","-","-0.41%"
"Jun 17, 2020","1,266.90","1,214.76","1,269.68","1,214.76","-","4.30%"
"Jun 15, 2020","1,214.63","1,249.44","1,249.78","1,208.72","-","-2.92%"
"Jun 12, 2020","1,251.17","1,242.20","1,253.64","1,214.39","-","0.61%"
"Jun 11, 2020","1,243.53","1,241.08","1,248.15","1,210.46","-","0.19%"
"Jun 10, 2020","1,241.13","1,267.32","1,275.27","1,236.29","-","-2.09%"
"Jun 09, 2020","1,267.64","1,266.04","1,275.41","1,257.03","-","0.15%"
"Jun 08, 2020","1,265.74","1,268.35","1,269.99","1,254.62","-","-0.11%"
"Jun 05, 2020","1,267.14","1,241.71","1,273.38","1,235.05","-","2.11%"
"Jun 04, 2020","1,240.93","1,255.07","1,255.87","1,234.52","-","-1.08%"
"Jun 03, 2020","1,254.50","1,221.41","1,254.50","1,221.41","-","2.54%"
"Jun 02, 2020","1,223.40","1,180.16","1,232.10","1,180.16","-","3.66%"
"Jun 01, 2020","1,180.18","1,174.00","1,207.95","1,174.00","-","0.75%"
"May 29, 2020","1,171.36","1,200.38","1,200.38","1,169.22","-","-2.71%"
"May 28, 2020","1,203.94","1,192.09","1,203.94","1,181.76","-","1.23%"
"May 27, 2020","1,189.28","1,197.78","1,200.87","1,181.09","-","-0.84%"
"May 26, 2020","1,199.32","1,190.58","1,206.77","1,190.39","-","1.44%"
"May 25, 2020","1,182.27","1,197.29","1,204.61","1,177.80","-","-1.29%"
"May 22, 2020","1,197.70","1,215.27","1,215.27","1,173.49","-","-1.50%"
"May 21, 2020","1,215.98","1,236.87","1,242.19","1,215.98","-","-1.88%"
"May 20, 2020","1,239.23","1,232.11","1,243.53","1,230.80","-","0.57%"
"May 19, 2020","1,232.17","1,209.76","1,235.86","1,209.57","-","1.70%"
"May 18, 2020","1,211.61","1,186.91","1,215.37","1,186.91","-","2.48%"
"May 15, 2020","1,182.33","1,177.50","1,196.28","1,175.71","-","0.45%"
"May 14, 2020","1,177.08","1,207.78","1,207.78","1,171.89","-","-2.57%"
"May 13, 2020","1,208.18","1,200.32","1,222.61","1,175.02","-","0.38%"
"May 12, 2020","1,203.56","1,200.68","1,217.72","1,196.26","-","0.24%"
"May 11, 2020","1,200.70","1,209.54","1,223.90","1,198.10","-","-0.71%"
"May 08, 2020","1,209.31","1,190.51","1,214.49","1,190.51","-","1.96%"
"May 07, 2020","1,186.09","1,185.79","1,193.83","1,177.17","-","-0.02%"
"May 06, 2020","1,186.32","1,176.96","1,187.70","1,167.96","-","0.83%"
"May 05, 2020","1,176.57","1,175.84","1,192.22","1,172.28","-","0.22%"
"May 04, 2020","1,174.00","1,184.61","1,184.61","1,150.18","-","-1.88%"
"Apr 30, 2020","1,196.51","1,206.10","1,218.94","1,191.27","-","-0.46%"
"Apr 29, 2020","1,202.09","1,183.54","1,202.20","1,179.32","-","1.64%"
"Apr 28, 2020","1,182.71","1,181.54","1,190.15","1,169.34","-","0.35%"
"Apr 24, 2020","1,178.53","1,173.52","1,180.79","1,159.14","-","0.39%"
"Apr 23, 2020","1,173.98","1,138.71","1,179.28","1,138.71","-","3.13%"
"Apr 22, 2020","1,138.30","1,117.74","1,140.08","1,117.74","-","1.71%"
"Apr 21, 2020","1,119.11","1,134.77","1,135.63","1,108.63","-","-1.82%"
"Apr 20, 2020","1,139.88","1,146.27","1,151.02","1,130.64","-","-0.55%"
"Apr 17, 2020","1,146.23","1,144.29","1,165.99","1,139.96","-","0.44%"
"Apr 16, 2020","1,141.18","1,153.42","1,163.29","1,138.46","-","0.05%"
"Apr 15, 2020","1,140.58","1,178.98","1,178.98","1,127.92","-","-3.25%"
"Apr 14, 2020","1,178.90","1,131.51","1,181.06","1,131.51","-","4.33%"
"Apr 09, 2020","1,129.99","1,095.19","1,129.99","1,090.24","-","3.44%"
"Apr 08, 2020","1,092.46","1,117.70","1,117.70","1,085.64","-","-2.26%"
"Apr 07, 2020","1,117.72","1,085.61","1,141.68","1,085.28","-","2.88%"
"Apr 06, 2020","1,086.40","1,042.28","1,087.31","1,042.28","-","4.26%"
"Apr 03, 2020","1,041.99","1,048.46","1,048.46","1,021.79","-","-0.78%"
"Apr 02, 2020","1,050.13","1,019.17","1,066.29","1,019.17","-","3.03%"
"Apr 01, 2020","1,019.27","1,038.29","1,038.29","998.52","-","-2.08%"
"Mar 31, 2020","1,040.93","1,009.04","1,044.09","1,009.04","-","3.14%"
"Mar 30, 2020","1,009.27","1,007.52","1,029.71","981.31","-","0.03%"
"Mar 27, 2020","1,008.93","1,083.17","1,083.74","1,000.30","-","-6.84%"
"Mar 26, 2020","1,083.06","1,026.51","1,097.20","1,023.40","-","5.52%"
"Mar 25, 2020","1,026.43","964.71","1,042.74","964.71","-","6.57%"
"Mar 24, 2020","963.11","896.44","967.45","896.44","-","7.50%"
"Mar 23, 2020","895.94","922.96","933.75","874.59","-","-4.94%"
"Mar 20, 2020","942.48","911.49","979.19","911.49","-","4.94%"
