"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 15, 2021","4,566.96","4,567.68","4,579.20","4,554.28","-","0.12%"
"Feb 12, 2021","4,561.65","4,526.22","4,575.56","4,509.56","-","0.15%"
"Feb 11, 2021","4,554.71","4,624.28","4,663.78","4,532.10","-","-1.05%"
"Feb 10, 2021","4,603.08","4,665.31","4,665.31","4,594.44","-","-0.51%"
"Feb 09, 2021","4,626.67","4,533.54","4,634.95","4,533.54","-","2.13%"
"Feb 08, 2021","4,530.30","4,515.09","4,550.98","4,496.32","-","0.24%"
"Feb 05, 2021","4,519.42","4,511.91","4,569.99","4,507.39","-","1.56%"
"Feb 04, 2021","4,449.96","4,465.37","4,475.29","4,423.97","-","-0.60%"
"Feb 03, 2021","4,476.85","4,496.49","4,517.08","4,433.23","-","-0.01%"
"Feb 02, 2021","4,477.34","4,390.11","4,532.78","4,390.11","-","3.60%"
"Feb 01, 2021","4,321.88","4,321.88","4,321.88","4,321.88","-","-1.24%"
"Jan 29, 2021","4,376.00","4,532.62","4,532.62","4,308.45","-","-2.51%"
"Jan 28, 2021","4,488.50","4,500.27","4,539.12","4,463.41","-","-0.77%"
"Jan 27, 2021","4,523.26","4,573.75","4,573.75","4,466.10","-","-2.64%"
"Jan 26, 2021","4,645.88","4,648.59","4,660.54","4,567.60","-","0.70%"
"Jan 25, 2021","4,613.48","4,599.48","4,645.02","4,507.27","-","0.15%"
"Jan 22, 2021","4,606.52","4,631.11","4,633.65","4,553.92","-","-1.68%"
"Jan 21, 2021","4,685.30","4,738.18","4,744.40","4,660.73","-","-1.18%"
"Jan 20, 2021","4,741.09","4,799.04","4,799.04","4,714.45","-","-0.53%"
"Jan 19, 2021","4,766.47","4,878.39","4,880.59","4,751.02","-","-1.93%"
"Jan 18, 2021","4,860.11","4,769.46","4,880.00","4,769.46","-","1.70%"
"Jan 15, 2021","4,779.10","4,779.34","4,796.15","4,755.12","-","-0.34%"
"Jan 14, 2021","4,795.29","4,764.57","4,837.89","4,737.12","-","0.34%"
"Jan 13, 2021","4,778.81","4,795.42","4,801.52","4,745.34","-","0.44%"
"Jan 12, 2021","4,757.98","4,800.76","4,827.30","4,757.98","-","-0.35%"
"Jan 11, 2021","4,774.54","4,771.01","4,805.75","4,721.47","-","-1.41%"
"Jan 08, 2021","4,842.66","4,803.61","4,860.71","4,787.08","-","1.02%"
"Jan 07, 2021","4,793.99","4,787.37","4,807.67","4,746.17","-","0.41%"
"Jan 06, 2021","4,774.19","4,709.23","4,866.00","4,709.23","-","2.28%"
"Jan 05, 2021","4,667.74","4,624.23","4,681.36","4,604.52","-","0.20%"
"Jan 04, 2021","4,658.31","4,625.22","4,733.84","4,624.54","-","1.93%"
"Jan 01, 2021","4,569.97","4,569.97","4,569.97","4,569.97","-","0.00%"
"Dec 31, 2020","4,569.97","4,648.44","4,648.44","4,568.40","-","-1.60%"
"Dec 30, 2020","4,644.22","4,645.69","4,697.58","4,614.75","-","-0.07%"
"Dec 29, 2020","4,647.60","4,561.76","4,649.93","4,559.96","-","2.96%"
"Dec 28, 2020","4,514.15","4,507.60","4,529.21","4,485.38","-","0.01%"
"Dec 25, 2020","4,513.57","4,513.57","4,513.57","4,513.57","-","0.00%"
"Dec 24, 2020","4,513.57","4,531.15","4,548.25","4,500.28","-","0.78%"
"Dec 23, 2020","4,478.55","4,385.46","4,510.23","4,379.37","-","2.14%"
"Dec 22, 2020","4,384.51","4,467.68","4,472.81","4,361.87","-","-1.03%"
"Dec 21, 2020","4,430.29","4,451.89","4,502.97","4,404.82","-","-2.34%"
"Dec 18, 2020","4,536.24","4,625.85","4,647.85","4,482.67","-","-1.75%"
"Dec 17, 2020","4,617.20","4,570.37","4,649.75","4,565.56","-","1.74%"
"Dec 16, 2020","4,538.22","4,526.91","4,563.49","4,524.39","-","1.35%"
"Dec 15, 2020","4,477.71","4,472.14","4,573.78","4,467.21","-","0.12%"
"Dec 14, 2020","4,472.44","4,509.18","4,509.18","4,448.51","-","-0.22%"
"Dec 11, 2020","4,482.29","4,487.40","4,507.98","4,444.31","-","-0.71%"
"Dec 10, 2020","4,514.53","4,420.96","4,529.34","4,413.87","-","1.45%"
