"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 16, 2020","1,430.12","1,447.84","1,449.61","1,427.57","-","-1.20%"
"Oct 15, 2020","1,447.51","1,446.87","1,458.45","1,427.83","-","-1.30%"
"Oct 14, 2020","1,466.54","1,458.00","1,472.20","1,451.97","-","1.27%"
"Oct 13, 2020","1,448.15","1,437.64","1,463.86","1,422.66","-","0.11%"
"Oct 12, 2020","1,446.63","1,446.63","1,446.63","1,446.63","-","-0.08%"
"Oct 09, 2020","1,447.85","1,447.54","1,466.23","1,436.03","-","1.15%"
"Oct 08, 2020","1,431.33","1,391.97","1,440.29","1,389.18","-","2.68%"
"Oct 07, 2020","1,394.03","1,407.19","1,414.61","1,380.80","-","-2.26%"
"Oct 06, 2020","1,426.33","1,422.28","1,452.56","1,390.50","-","1.80%"
"Oct 05, 2020","1,401.08","1,359.49","1,421.61","1,359.48","-","2.64%"
"Oct 02, 2020","1,365.07","1,387.51","1,399.72","1,356.32","-","-1.52%"
"Oct 01, 2020","1,386.07","1,374.29","1,386.07","1,354.76","-","0.79%"
"Sep 30, 2020","1,375.22","1,355.85","1,391.73","1,355.48","-","1.22%"
"Sep 29, 2020","1,358.64","1,369.46","1,393.90","1,355.18","-","-1.85%"
"Sep 28, 2020","1,384.21","1,430.82","1,455.52","1,363.54","-","-2.83%"
"Sep 25, 2020","1,424.53","1,427.24","1,429.77","1,401.55","-","-0.00%"
"Sep 24, 2020","1,424.55","1,399.13","1,460.07","1,398.57","-","0.92%"
"Sep 23, 2020","1,411.59","1,444.64","1,448.11","1,400.10","-","-3.67%"
"Sep 22, 2020","1,465.33","1,470.92","1,481.92","1,441.27","-","0.47%"
"Sep 21, 2020","1,458.41","1,477.80","1,480.45","1,436.35","-","-4.27%"
"Sep 18, 2020","1,523.39","1,560.90","1,561.02","1,499.32","-","-2.45%"
"Sep 17, 2020","1,561.67","1,549.97","1,571.37","1,529.29","-","0.36%"
"Sep 16, 2020","1,556.05","1,562.72","1,579.91","1,551.96","-","-0.04%"
"Sep 15, 2020","1,556.65","1,573.02","1,581.03","1,545.14","-","0.26%"
"Sep 14, 2020","1,552.66","1,526.17","1,566.33","1,525.47","-","1.64%"
"Sep 11, 2020","1,527.60","1,536.95","1,550.70","1,506.65","-","-0.20%"
"Sep 10, 2020","1,530.63","1,571.38","1,580.97","1,521.22","-","-2.51%"
"Sep 09, 2020","1,570.02","1,542.44","1,577.23","1,542.44","-","2.46%"
"Sep 08, 2020","1,532.36","1,544.35","1,551.07","1,509.72","-","-2.42%"
"Sep 07, 2020","1,570.38","1,570.38","1,570.38","1,570.38","-","-0.14%"
"Sep 04, 2020","1,572.59","1,574.77","1,586.48","1,531.48","-","0.76%"
"Sep 03, 2020","1,560.66","1,575.67","1,603.78","1,547.65","-","-0.19%"
"Sep 02, 2020","1,563.61","1,566.18","1,581.60","1,544.64","-","-0.27%"
"Sep 01, 2020","1,567.86","1,518.17","1,574.47","1,516.56","-","5.24%"
"Aug 31, 2020","1,489.75","1,548.12","1,548.12","1,488.42","-","-3.48%"
"Aug 28, 2020","1,543.53","1,505.34","1,557.15","1,505.34","-","4.25%"
